1702661;F;Alfredo Bassaf;54;5;2;1012444;abassafim@uc.pt;925623147;191190233;11322634 9 ZW0;2018 01 15 17 18 19;600.00
1700061;G;Dinis Gomes;12;1;1;1012444;agomes@ipg.pt;919865124;113058136;18444664 3 ZX9;2015 06 05 12 17 18;500.00
1703961;H;Betinho Barros;14;5;2;1012444;buslu@hotmail.com;928745654;100628010;15576666 0 ZV9;2015 02 25 15 17 16;600.00
1703663;I;Cristiana Santos;8;4;1;1012444;csantos@uc.pt;929475123;198915306;19117919 1 ZX7;2008 03 03 03 05 00;400.0
1701334;J;Dayson Nascimento;3;5;2;1012444;dnascimento@uc.pt;925845123;187646490;19117919 1 ZX7;2014 08 09 09 10 12;800.00
1702282;K;Erickson Trindade;1;1;2;1012444;djectr6@gmail.com;921984736;297311425;13721792 7 ZW3;1998 02 09 12 54 23;1000.00
1701341;L;Felipe Oliveira;4;3;1;1012444;foliveira@hotmail.com;929487556;118200313;12234870 2 ZW4;2015 02 25 18 14 15;700.00
1415162;M;Garfield Ghost;54;3;1;1012444;gghost@gmail.com;939878451;120856034;13302839 9 ZX1;2017 12 03 20 28 29;7000.00
1724556;N;Henry Pires;14;2;1;1012444;hpries@gmail.com;918745587;246500360;15964416 0 ZV0;2018 02 25 14 15 16;900.00
1702729;O;Iaia Injai;54;4;1;1012444;iinjai@gmail.com;928712369;267661576;19949992 6 ZW4;2000 02 14 15 24 00;900.00
1702622;P;Janice Horta;3;5;1;1012444;jhorta@hotmail.com;968520753;278263062;16775593 5 ZX9;2001 04 05 10 52 48;1000.00
1700331;Q;Laurencio Torra;2;4;1;1012444;ltorra@gmail.com;925874965;224543776;15454143 5 ZX7;2005 06 14 18 17 19;800.00
